"Load jQuery in frontend","Load jQuery in frontend"
"Load jQuery in admin","Load jQuery in admin"
"Mageinn - Attribute's Hint","Mageinn - Attribute's Hint"
"Attribute's Hint","Attribute's Hint"
"Manage Hints","Manage Hints"
"Manage Title Hint","Manage Title Hint"
"Manage Options Hints","Manage Options Hints"
"Can be used only with attributes of type Dropdown and Multiple Select.","Can be used only with attributes of type Dropdown and Multiple Select."
